Peshawri,https://www.tripadvisor.com/Restaurant_Review-g304554-d1014520-Reviews-Peshawri-Mumbai_Bombay_Maharashtra.html,Excellent peshaveri naan and black dal...,AMAZING EXPERIENCE,,,
Sea Lounge,https://www.tripadvisor.com/Restaurant_Review-g304554-d812458-Reviews-Sea_Lounge-Mumbai_Bombay_Maharashtra.html,Sea Lounge by Sun Set,Place to relax,,,
Shree Thaker Bhojanalay,https://www.tripadvisor.com/Restaurant_Review-g304554-d2431689-Reviews-Shree_Thaker_Bhojanalay-Mumbai_Bombay_Maharashtra.html,Excellent food and courteous service.,A must visit for Delicious veg.Thali,,,
24/7 Restaurant - The Lalit Mumbai,https://www.tripadvisor.com/Restaurant_Review-g304554-d788892-Reviews-24_7_Restaurant_The_Lalit_Mumbai-Mumbai_Bombay_Maharashtra.html,Food & Service,Excellent,,,
Mirchi and Mime,https://www.tripadvisor.com/Restaurant_Review-g304554-d8094901-Reviews-Mirchi_and_Mime-Mumbai_Bombay_Maharashtra.html,Great food, great ambience, amazing servic...,VERY DIFFERENT EXPERIENCE,
B Bhagat Tarachand,https://www.tripadvisor.com/Restaurant_Review-g304554-d940743-Reviews-B_Bhagat_Tarachand-Mumbai_Bombay_Maharashtra.html,Yummy,Excellent vegetarian food,,,
Mahesh Lunch Home,https://www.tripadvisor.com/Restaurant_Review-g304554-d1115698-Reviews-Mahesh_Lunch_Home-Mumbai_Bombay_Maharashtra.html,The Original Mahesh,My favorite seafood restaurant,,,
Status Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d1463269-Reviews-Status_Restaurant-Mumbai_Bombay_Maharashtra.html,Pricey but great breakfast,Food lover,,,
Cafe Madras,https://www.tripadvisor.com/Restaurant_Review-g304554-d877577-Reviews-Cafe_Madras-Mumbai_Bombay_Maharashtra.html,Best south indian food I have ever had..!!,Dinghy & delicious!!,,,
K & K,https://www.tripadvisor.com/Restaurant_Review-g304554-d804433-Reviews-K_K-Mumbai_Bombay_Maharashtra.html,Very very good,Good but not as good as BUKHARA,,,
Aer,https://www.tripadvisor.com/Restaurant_Review-g304554-d2624373-Reviews-Aer-Mumbai_Bombay_Maharashtra.html,Nice sunset views, great place,Interesting View and Happening Cocktails,,
Indigo,https://www.tripadvisor.com/Restaurant_Review-g304554-d809439-Reviews-Indigo-Mumbai_Bombay_Maharashtra.html,Excellent.,Fine Dining , Good Stuff but expensive,,
Barbeque Nation,https://www.tripadvisor.com/Restaurant_Review-g1532344-d3694240-Reviews-Barbeque_Nation-Navi_Mumbai_Mumbai_Bombay_Maharashtra.html,The Best BN in Navi Mumbai,Good food,,,
Trishna,https://www.tripadvisor.com/Restaurant_Review-g304554-d804915-Reviews-Trishna-Mumbai_Bombay_Maharashtra.html,Superb!,Just go and eat the crab - best in Bombay,,,
Khyber,https://www.tripadvisor.com/Restaurant_Review-g304554-d810592-Reviews-Khyber-Mumbai_Bombay_Maharashtra.html,Great food,VFM,,,
Global Fusion Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d1418059-Reviews-Global_Fusion_Restaurant-Mumbai_Bombay_Maharashtra.html,Superb food,Starters going all the way,,,
Dum Pukht,https://www.tripadvisor.com/Restaurant_Review-g304554-d2516624-Reviews-Dum_Pukht-Mumbai_Bombay_Maharashtra.html,Amazing food, great service, nice ambience,Awesome awesome awesome,
Samrat Veg Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d1011395-Reviews-Samrat_Veg_Restaurant-Mumbai_Bombay_Maharashtra.html,Samrat the true Samrat of Hotels in Mumbai,Fantastic,,,
Masala Library,https://www.tripadvisor.com/Restaurant_Review-g304554-d5277910-Reviews-Masala_Library-Mumbai_Bombay_Maharashtra.html,Amazing and Delicious food,Good food but a bit pricey,,,
Burma Burma,https://www.tripadvisor.com/Restaurant_Review-g304554-d6727095-Reviews-Burma_Burma-Mumbai_Bombay_Maharashtra.html,Wow! What food!! A must visit restaurant i...,Amazing experience,,,
Global Fusion, Saki Naka, Mumbai,https://www.tripadvisor.com/Restaurant_Review-g304554-d3954940-Reviews-Global_Fusion_Saki_Naka_Mumbai-Mumbai_Bombay_Maharashtra.html,Best Veg & Non Veg Buffet restaurant of Mu...,Great variety,
Seasonal Tastes,https://www.tripadvisor.com/Restaurant_Review-g304554-d2315466-Reviews-Seasonal_Tastes-Mumbai_Bombay_Maharashtra.html,Good selection,Birthday breakfast,,,
Ramashraya Hindu Vishranti Griha Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d1940602-Reviews-Ramashraya_Hindu_Vishranti_Griha_Restaurant-Mumbai_Bombay_Maharashtra.html,Value For Money,Neer dosa was the best..!!,,,
Romano's,https://www.tripadvisor.com/Restaurant_Review-g304554-d8408070-Reviews-Romano_s-Mumbai_Bombay_Maharashtra.html,Veg lasagne,The best Italian restaurant of the city.,,,
Cafe Mondegar,https://www.tripadvisor.com/Restaurant_Review-g304554-d810909-Reviews-Cafe_Mondegar-Mumbai_Bombay_Maharashtra.html,Always happening!,Meet the world travelers and the localites,,,
Yauatcha,https://www.tripadvisor.com/Restaurant_Review-g304554-d2436595-Reviews-Yauatcha-Mumbai_Bombay_Maharashtra.html,Fabulous restaurant,Good ambience with food to match!,,,
Colaba Social,https://www.tripadvisor.com/Restaurant_Review-g304554-d7092396-Reviews-Colaba_Social-Mumbai_Bombay_Maharashtra.html,Fantastic place,Great place for drinks, snacks and a meal!,,
Govinda's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d2307587-Reviews-Govinda_s_Restaurant-Mumbai_Bombay_Maharashtra.html,Very Good Vegetarian Restaurant,Divine ambience and efficient friendly ser...,,,
Swati Snacks,https://www.tripadvisor.com/Restaurant_Review-g304554-d801832-Reviews-Swati_Snacks-Mumbai_Bombay_Maharashtra.html,Good,Family time,,,
The Bombay Canteen,https://www.tripadvisor.com/Restaurant_Review-g304554-d7707818-Reviews-The_Bombay_Canteen-Mumbai_Bombay_Maharashtra.html,Good lunch!!,Good place to hang around,,,
Mainland China,https://www.tripadvisor.com/Restaurant_Review-g304554-d806558-Reviews-Mainland_China-Mumbai_Bombay_Maharashtra.html,My Favorate Chinese Restsurant,good food,,,
Pizza By The Bay,https://www.tripadvisor.com/Restaurant_Review-g304554-d3206574-Reviews-Pizza_By_The_Bay-Mumbai_Bombay_Maharashtra.html,Great Location,Great food with great atmosphere,,,
Bhagat Tarachand,https://www.tripadvisor.com/Restaurant_Review-g1532344-d1644471-Reviews-Bhagat_Tarachand-Navi_Mumbai_Mumbai_Bombay_Maharashtra.html,Blessing for Vegetarians.,Authentic north Indian vegetarian food.,,,
Thai Pavilion,https://www.tripadvisor.com/Restaurant_Review-g304554-d811768-Reviews-Thai_Pavilion-Mumbai_Bombay_Maharashtra.html,Try the steamed John Dory!,A Memorable Place with Excellent dining.,,,
Delhi Darbar,https://www.tripadvisor.com/Restaurant_Review-g304554-d1146990-Reviews-Delhi_Darbar-Mumbai_Bombay_Maharashtra.html,Biryani .. awesome,Best place for mutton dishes,,,
Britannia & Company Restaurant,https://www.tripadvisor.com/Restaurant_Review-g304554-d810625-Reviews-Britannia_Company_Restaurant-Mumbai_Bombay_Maharashtra.html,One of those hyped eateries of Mumbai,Iconic and unique - a must-visit in Bombay,,,
Golden Dragon,https://www.tripadvisor.com/Restaurant_Review-g304554-d1138742-Reviews-Golden_Dragon-Mumbai_Bombay_Maharashtra.html,expensive but worth it,"Golden Dragon @ Colaba, Mumbai",,,
Ziya,https://www.tripadvisor.com/Restaurant_Review-g304554-d2306881-Reviews-Ziya-Mumbai_Bombay_Maharashtra.html,Great Place,Fusion Food - East meets West,,,
